Reporte:,Detalle de facturas de grupos de locales,,,,,,,,,,,,
Periodo:,01 de noviembre de 2024 al 28 de noviembre de 2024,,,,,,,,,,,,
,,,,,,,,,,,,,
Nombre Local,ID Factura,Fecha Fin Transaccion,Codigo Interno del Producto,Codigo producto (Elemetrica),Descripcion del Producto,Descripcion de la Categoria,Categoria 2,Subtotal,Descuentos,Impuestos,Total,Unidades Vendidas,Precio
Restaurant 1,20241101_295145_V10G,1/11/24 15:37,21800009,casacasco01-5d78e012c5714e63_21800009_474e7ec1fc7ef9eb,Jugo Maracuya Vaso, Bebidas No Alcoholicas, JUGOS,12,0,0.84,12.84,2,6
Restaurant 1,20241101_295145_V10G,1/11/24 15:37,21500007,casacasco01-5d78e012c5714e63_21500007_efeb63b6d6a59cfa,Agua Panama Blue 330 ml vidrio, Bebidas No Alcoholicas, AGUA,5,0,0.35,5.35,1,5
Restaurant 1,20241101_295143_V10G,1/11/24 16:00,52400002,casacasco01-5d78e012c5714e63_52400002_3c3d890ad645f898,Edamame,,,8.5,0,0.6,9.1,1,8.5
Restaurant 1,20241101_295143_V10G,1/11/24 16:00,572,casacasco01-5d78e012c5714e63_572_1b68b2931690fe13,Jugo Naranja VASO, ALIMENTOS, MATERIA PRIMA,6,0,0.42,6.42,1,6
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,2410,casacasco01-5d78e012c5714e63_2410_c1fbaecab07a5e3b,Tanqueray Sevilla  Servicio, Bebidas Alcoholicas, GINEBRA,240,0,16.8,256.8,2,120
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,10500016,casacasco01-5d78e012c5714e63_10500016_9ddad98e95347de9,Hendricks Servicio 700ML, Bebidas Alcoholicas, GINEBRA,140,0,9.8,149.8,1,140
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,3217,casacasco01-5d78e012c5714e63_3217_f6bb3344b6d68d22,Picada Panamena, KOBORE, KOBORE TERRAZA,90,0,6.3,96.3,3,30
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,10700006,casacasco01-5d78e012c5714e63_10700006_f845e1316cf0420e,Antioqueno  S/A  Serv 750 ml, Bebidas Alcoholicas, AGUARDIENTE,80,0,5.6,85.6,1,80
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,3204,casacasco01-5d78e012c5714e63_3204_7f6d6ff93fafa480,Empanaditas Ropa Vieja, KOBORE, KOBORE TERRAZA,45,0,3.15,48.15,3,15
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,2300,casacasco01-5d78e012c5714e63_2300_562bcbd8092dfea7,Pizza 4 Quesos, MARULA, PICADAS MARULA TERRAZA,18,0,1.26,19.26,1,18
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,2230,casacasco01-5d78e012c5714e63_2230_6e52de5087f67cf4,Brouchet Thai,,,16,0,1.12,17.12,1,16
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,12.5,0,0.88,13.38,1,12.5
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,1906,casacasco01-5d78e012c5714e63_1906_53fcf918857f622f,Crostini Jamon Serrano Mozzarella,,,12,0,0.84,12.84,1,12
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,586,casacasco01-5d78e012c5714e63_586_c1132974206084de,Extra de Frutos Rojos, Bebidas Alcoholicas, COCTELES CLASICOS,5,0,0,5,1,5
Restaurant 1,20241101_295159_V10G,1/11/24 16:04,21700001,casacasco01-5d78e012c5714e63_21700001_d8a6ab2834e58246,Quina Tonica Schweppes 330ML, Bebidas No Alcoholicas, TONICA,3.25,0,0.23,3.48,1,3.25
Restaurant 1,20241101_295146_V10G,1/11/24 16:13,11100014,casacasco01-5d78e012c5714e63_11100014_2e3a885c3d17d465,Aperol Spritz, Bebidas Alcoholicas, COCTELES CLASICOS,25,0,1.75,26.75,2,12.5
